Created,Run #,Chi,Phi,Sample,Title
2020/08/25 00:35:56 EDT,379710,80,0,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:35:05 EDT,379709,80,5,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:34:13 EDT,379708,80,10,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:33:21 EDT,379707,80,15,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:32:30 EDT,379706,80,20,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:31:38 EDT,379705,80,25,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:30:46 EDT,379704,80,30,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:29:55 EDT,379703,80,35,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:29:03 EDT,379702,80,40,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:28:12 EDT,379701,80,45,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:27:20 EDT,379700,80,50,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:26:28 EDT,379699,80,55,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:25:37 EDT,379698,80,60,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:24:45 EDT,379697,80,65,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:23:54 EDT,379696,80,70,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:23:02 EDT,379695,80,75,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:22:10 EDT,379694,80,80,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:21:19 EDT,379693,80,85,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:20:27 EDT,379692,80,90,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:19:35 EDT,379691,80,95,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:18:44 EDT,379690,80,100,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:17:52 EDT,379689,80,105,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:17:01 EDT,379688,80,110,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:16:09 EDT,379687,80,115,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:15:17 EDT,379686,80,120,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:14:26 EDT,379685,80,125,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:13:34 EDT,379684,80,130,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:12:43 EDT,379683,80,135,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:11:51 EDT,379682,80,140,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:10:59 EDT,379681,80,145,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:10:08 EDT,379680,80,150,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:09:16 EDT,379679,80,155,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:08:25 EDT,379678,80,160,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:07:33 EDT,379677,80,165,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:06:41 EDT,379676,80,170,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:05:50 EDT,379675,80,175,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:04:58 EDT,379674,80,180,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:04:06 EDT,379673,80,185,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:03:15 EDT,379672,80,190,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:02:23 EDT,379671,80,195,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:01:32 EDT,379670,80,200,Steel #3,"Steel #3, Chi 80"
2020/08/25 00:00:40 EDT,379669,80,205,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:59:48 EDT,379668,80,210,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:58:57 EDT,379667,80,215,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:58:05 EDT,379666,80,220,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:57:14 EDT,379665,80,225,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:56:22 EDT,379664,80,230,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:55:31 EDT,379663,80,235,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:54:39 EDT,379662,80,240,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:53:47 EDT,379661,80,245,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:52:56 EDT,379660,80,250,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:52:04 EDT,379659,80,255,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:51:13 EDT,379658,80,260,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:50:21 EDT,379657,80,265,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:49:30 EDT,379656,80,270,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:48:38 EDT,379655,80,275,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:47:46 EDT,379654,80,280,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:46:55 EDT,379653,80,285,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:46:03 EDT,379652,80,290,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:45:12 EDT,379651,80,295,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:44:20 EDT,379650,80,300,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:43:28 EDT,379649,80,305,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:42:37 EDT,379648,80,310,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:41:45 EDT,379647,80,315,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:40:53 EDT,379646,80,320,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:40:02 EDT,379645,80,325,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:39:10 EDT,379644,80,330,Steel #3,"Steel #3, Chi 80"
2020/08/24 23:38:18 EDT,379643,80,335,Steel #3,"Steel #3, Chi 80"
